location_id,borough,zone,day_type,request_hour,n,calendar_occurrences,requests_per_occurrence,over_10_count,over_10_per_occurrence,median_wait_min,p90_wait_min,share_over_10,city_median_wait_min,city_p90_wait_min,city_share_over_10,median_excess_min,supply_metric_requests,prior_hour_dropoffs,supply_hours_observed,local_pressure,is_airport,impact_rank
36,Brooklyn,Bushwick North,Weekend,2,5574,8,696.75,1575,196.875,7.266666666666667,15.3,0.28256189451022606,4.666666666666667,10.383333333333333,0.11081332529840253,2.5999999999999996,5574,4289,8,1.2996036372114712,false,1
148,Manhattan,Lower East Side,Weekend,1,9177,8,1147.125,1451,181.375,5.483333333333333,11.966666666666667,0.15811267298681486,4.466666666666667,10.033333333333333,0.10095353961802017,1.0166666666666666,9177,4506,8,2.036617842876165,false,2
148,Manhattan,Lower East Side,Weekend,0,8304,8,1038.0,1429,178.625,5.916666666666667,12.01666666666667,0.17208574181117534,4.833333333333333,10.8,0.12398178784175715,1.083333333333334,8304,5634,8,1.4739084132055378,false,3
255,Brooklyn,Williamsburg (North Side),Weekend,23,5237,8,654.625,1422,177.75,7.083333333333333,14.2,0.27152950162306666,5.283333333333333,12.25,0.1677525269003699,1.7999999999999998,5237,3851,8,1.3599065177875875,false,4
36,Brooklyn,Bushwick North,Weekend,3,4189,8,523.625,1374,171.75,7.85,16.203333333333337,0.3280019097636667,5.016666666666667,11.416666666666666,0.14056691137983332,2.833333333333333,4189,3195,8,1.3111111111111111,false,5
148,Manhattan,Lower East Side,Weekend,2,7524,8,940.5,1374,171.75,5.833333333333333,12.23333333333333,0.18261562998405104,4.666666666666667,10.383333333333333,0.11081332529840253,1.166666666666666,7524,3421,8,2.1993569131832795,false,6
255,Brooklyn,Williamsburg (North Side),Weekend,0,7327,8,915.875,1323,165.375,6.083333333333333,12.533333333333333,0.18056503343796915,4.833333333333333,10.8,0.12398178784175715,1.25,7327,5231,8,1.4006882049321354,false,7
79,Manhattan,East Village,Weekend,1,9326,8,1165.75,1139,142.375,5.016666666666667,10.725,0.12213167488741154,4.466666666666667,10.033333333333333,0.10095353961802017,0.5499999999999998,9326,5981,8,1.5592710249122221,false,8
79,Manhattan,East Village,Weekend,0,8712,8,1089.0,1130,141.25,5.3,10.831666666666676,0.12970615243342515,4.833333333333333,10.8,0.12398178784175715,0.4666666666666668,8712,6953,8,1.2529843233136775,false,9
161,Manhattan,Midtown Center,Weekday,21,19812,22,900.5454545454545,2836,128.9090909090909,4.983333333333333,11.4,0.14314556834241873,4.0,9.65,0.09069898848801876,0.9833333333333334,19812,5027,22,3.941117962999801,false,10
36,Brooklyn,Bushwick North,Weekend,1,6626,8,828.25,1008,126.0,5.2,11.725,0.15212798068216118,4.466666666666667,10.033333333333333,0.10095353961802017,0.7333333333333334,6626,5190,8,1.2766859344894026,false,11
37,Brooklyn,Bushwick South,Weekend,3,5069,8,633.625,989,123.625,6.116666666666666,13.169999999999996,0.1951075162753995,5.016666666666667,11.416666666666666,0.14056691137983332,1.0999999999999996,5069,5348,8,0.9478309648466716,false,12
230,Manhattan,Times Sq/Theatre District,Weekday,22,14772,22,671.4545454545455,2707,123.04545454545455,5.55,12.733333333333333,0.18325209856485242,4.316666666666666,10.283333333333333,0.10747069193979303,1.2333333333333334,14772,7928,22,1.8632694248234107,false,13
230,Manhattan,Times Sq/Theatre District,Weekday,21,16864,22,766.5454545454545,2706,123.0,5.216666666666667,12.016666666666667,0.16046015180265655,4.0,9.65,0.09069898848801876,1.2166666666666668,16864,7502,22,2.2479338842975207,false,14
230,Manhattan,Times Sq/Theatre District,Weekend,22,4544,8,568.0,968,121.0,5.316666666666666,14.278333333333338,0.2130281690140845,4.966666666666667,11.65,0.14563746000492248,0.34999999999999964,4544,3129,8,1.4522211569191434,false,15
37,Brooklyn,Bushwick South,Weekend,2,6189,8,773.625,957,119.625,5.4,11.983333333333333,0.1546291808046534,4.666666666666667,10.383333333333333,0.11081332529840253,0.7333333333333334,6189,6785,8,0.9121591746499631,false,16
255,Brooklyn,Williamsburg (North Side),Weekend,1,6348,8,793.5,918,114.75,5.366666666666666,11.566666666666666,0.1446124763705104,4.466666666666667,10.033333333333333,0.10095353961802017,0.8999999999999995,6348,4271,8,1.486302973542496,false,17
80,Brooklyn,East Williamsburg,Weekend,3,3502,8,437.75,891,111.375,6.766666666666667,13.965000000000002,0.25442604226156484,5.016666666666667,11.416666666666666,0.14056691137983332,1.75,3502,3016,8,1.1611405835543767,false,18
148,Manhattan,Lower East Side,Weekend,3,5317,8,664.625,877,109.625,5.566666666666666,12.04000000000001,0.1649426368252774,5.016666666666667,11.416666666666666,0.14056691137983332,0.5499999999999998,5317,2475,8,2.148282828282828,false,19
76,Brooklyn,East New York,Weekday,7,12557,22,570.7727272727273,2389,108.5909090909091,6.1,12.883333333333333,0.19025244883332007,4.716666666666667,10.916666666666666,0.12505400636974198,1.3833333333333329,12557,6194,22,2.0272844688408136,false,20
36,Brooklyn,Bushwick North,Weekend,4,2729,8,341.125,865,108.125,7.383333333333334,15.686666666666671,0.3169659215829974,5.366666666666666,12.066666666666666,0.1614305787534134,2.0166666666666675,2729,2369,8,1.151962853524694,false,21
114,Manhattan,Greenwich Village South,Weekend,1,3906,8,488.25,845,105.625,6.183333333333334,12.941666666666666,0.21633384536610342,4.466666666666667,10.033333333333333,0.10095353961802017,1.7166666666666668,3906,2280,8,1.7131578947368422,false,22
255,Brooklyn,Williamsburg (North Side),Weekend,22,5255,8,656.875,834,104.25,5.683333333333334,11.8,0.1587059942911513,4.966666666666667,11.65,0.14563746000492248,0.7166666666666668,5255,4308,8,1.2198235840297122,false,23
79,Manhattan,East Village,Weekend,2,7855,8,981.875,781,97.625,4.683333333333334,9.983333333333333,0.09942711648631444,4.666666666666667,10.383333333333333,0.11081332529840253,0.016666666666666607,7855,4843,8,1.621928556679744,false,24
76,Brooklyn,East New York,Weekend,22,3266,8,408.25,770,96.25,6.333333333333333,14.366666666666667,0.23576240048989588,4.966666666666667,11.65,0.14563746000492248,1.3666666666666663,3266,3531,8,0.9249504389691305,false,25
37,Brooklyn,Bushwick South,Weekend,4,3505,8,438.125,761,95.125,6.25,13.493333333333332,0.21711840228245363,5.366666666666666,12.066666666666666,0.1614305787534134,0.8833333333333337,3505,4186,8,0.8373148590539895,false,26
249,Manhattan,West Village,Weekend,1,5090,8,636.25,759,94.875,5.366666666666666,11.45,0.14911591355599213,4.466666666666667,10.033333333333333,0.10095353961802017,0.8999999999999995,5090,3233,8,1.5743891122796165,false,27
114,Manhattan,Greenwich Village South,Weekend,0,4059,8,507.375,744,93.0,6.0,12.2,0.18329637841832963,4.833333333333333,10.8,0.12398178784175715,1.166666666666667,4059,2989,8,1.3579792572766811,false,28
