location_id,borough,zone,day_type,request_hour,n,calendar_occurrences,requests_per_occurrence,over_10_count,over_10_per_occurrence,median_wait_min,p90_wait_min,share_over_10,city_median_wait_min,city_p90_wait_min,city_share_over_10,median_excess_min,supply_metric_requests,prior_hour_dropoffs,supply_hours_observed,local_pressure,is_airport,demand_decile
37,Brooklyn,Bushwick South,Weekend,1,6727,8,840.875,558,69.75,4.15,9.373333333333342,0.08294930875576037,4.466666666666667,10.033333333333333,0.10095353961802017,-0.31666666666666643,6727,8083,8,0.832240504763083,false,10
37,Brooklyn,Bushwick South,Weekend,0,6618,8,827.25,512,64.0,4.033333333333333,9.1,0.07736476276820792,4.833333333333333,10.8,0.12398178784175715,-0.7999999999999998,6618,7961,8,0.8313026001758573,false,10
36,Brooklyn,Bushwick North,Weekend,0,6442,8,805.25,584,73.0,4.333333333333333,9.633333333333333,0.09065507606333437,4.833333333333333,10.8,0.12398178784175715,-0.5,6442,5626,8,1.1450408816210451,false,10
79,Manhattan,East Village,Weekend,22,6278,8,784.75,253,31.625,3.5,7.516666666666666,0.0402994584262504,4.966666666666667,11.65,0.14563746000492248,-1.4666666666666668,6278,5627,8,1.1156921983294827,false,10
79,Manhattan,East Village,Weekend,21,6016,8,752.0,131,16.375,3.1,6.591666666666667,0.021775265957446808,4.5,10.683333333333334,0.11742836553102828,-1.4,6016,5721,8,1.051564411816116,false,10
79,Manhattan,East Village,Weekend,23,5574,8,696.75,492,61.5,4.466666666666667,9.511666666666663,0.08826695371367062,5.283333333333333,12.25,0.1677525269003699,-0.8166666666666664,5574,5332,8,1.0453863465866466,false,10
79,Manhattan,East Village,Weekend,3,5470,8,683.75,469,58.625,4.35,9.451666666666672,0.08574040219378427,5.016666666666667,11.416666666666666,0.14056691137983332,-0.666666666666667,5470,3591,8,1.5232525758841549,false,10
79,Manhattan,East Village,Weekend,20,5458,8,682.25,123,15.375,3.033333333333333,6.466666666666667,0.022535727372663978,4.366666666666666,10.183333333333334,0.10420757738252621,-1.333333333333333,5458,5463,8,0.9990847519677832,false,10
161,Manhattan,Midtown Center,Weekday,19,14945,22,679.3181818181819,257,11.681818181818182,2.8333333333333335,6.0,0.01719638675142188,3.4833333333333334,8.0,0.05254564746723257,-0.6499999999999999,14945,8688,22,1.7201887661141806,false,10
61,Brooklyn,Crown Heights North,Weekend,22,5248,8,656.0,639,79.875,4.633333333333334,10.766666666666667,0.12176067073170732,4.966666666666667,11.65,0.14563746000492248,-0.33333333333333304,5248,5590,8,0.9388193202146691,false,10
255,Brooklyn,Williamsburg (North Side),Weekend,19,5248,8,656.0,423,52.875,4.066666666666666,9.27166666666667,0.08060213414634146,4.3,10.0,0.09964006490632837,-0.2333333333333334,5248,4874,8,1.0767336889618384,false,10
61,Brooklyn,Crown Heights North,Weekend,0,5233,8,654.125,458,57.25,4.266666666666667,9.630000000000003,0.08752149818459774,4.833333333333333,10.8,0.12398178784175715,-0.5666666666666664,5233,7071,8,0.7400650544477443,false,10
255,Brooklyn,Williamsburg (North Side),Weekend,21,5232,8,654.0,461,57.625,4.258333333333333,9.481666666666676,0.08811162079510704,4.5,10.683333333333334,0.11742836553102828,-0.24166666666666714,5232,4968,8,1.0531400966183575,false,10
162,Manhattan,Midtown East,Weekday,20,14180,22,644.5454545454545,301,13.681818181818182,3.283333333333333,6.533333333333333,0.021227080394922427,3.6166666666666667,8.516666666666667,0.06397281094931385,-0.3333333333333335,14180,4853,22,2.921903976921492,false,10
80,Brooklyn,East Williamsburg,Weekend,0,5114,8,639.25,459,57.375,4.216666666666667,9.55,0.08975361752053188,4.833333333333333,10.8,0.12398178784175715,-0.6166666666666663,5114,5018,8,1.0191311279394182,false,10
37,Brooklyn,Bushwick South,Weekend,22,5107,8,638.375,546,68.25,4.466666666666667,10.25,0.10691208145682397,4.966666666666667,11.65,0.14563746000492248,-0.5,5107,5180,8,0.9859073359073359,false,10
255,Brooklyn,Williamsburg (North Side),Weekend,20,5071,8,633.875,257,32.125,3.683333333333333,7.816666666666666,0.05068033918359298,4.366666666666666,10.183333333333334,0.10420757738252621,-0.6833333333333331,5071,4914,8,1.031949531949532,false,10
234,Manhattan,Union Sq,Weekday,21,13944,22,633.8181818181819,729,33.13636363636363,3.816666666666667,7.928333333333346,0.05228055077452668,4.0,9.65,0.09069898848801876,-0.18333333333333313,13944,8794,22,1.5856265635660678,false,10
80,Brooklyn,East Williamsburg,Weekend,1,5008,8,626.0,368,46.0,4.3583333333333325,8.988333333333337,0.07348242811501597,4.466666666666667,10.033333333333333,0.10095353961802017,-0.10833333333333428,5008,5040,8,0.9936507936507937,false,10
79,Manhattan,East Village,Weekend,19,5003,8,625.375,135,16.875,3.216666666666667,6.9,0.026983809714171497,4.3,10.0,0.09964006490632837,-1.083333333333333,5003,4700,8,1.064468085106383,false,10
37,Brooklyn,Bushwick South,Weekend,23,4992,8,624.0,529,66.125,4.466666666666667,10.231666666666676,0.10596955128205128,5.283333333333333,12.25,0.1677525269003699,-0.8166666666666664,4992,5781,8,0.8635184224182667,false,10
255,Brooklyn,Williamsburg (North Side),Weekend,18,4943,8,617.875,283,35.375,3.7666666666666666,8.433333333333334,0.05725268055836537,4.066666666666666,9.2,0.07939565130134463,-0.2999999999999998,4943,4553,8,1.0856578080386559,false,10
61,Brooklyn,Crown Heights North,Weekend,21,4885,8,610.625,454,56.75,4.333333333333333,9.766666666666667,0.09293756397134084,4.5,10.683333333333334,0.11742836553102828,-0.16666666666666696,4885,5336,8,0.91547976011994,false,10
36,Brooklyn,Bushwick North,Weekend,23,4797,8,599.625,515,64.375,4.55,10.333333333333334,0.10735876589535126,5.283333333333333,12.25,0.1677525269003699,-0.7333333333333334,4797,4130,8,1.161501210653753,false,10
148,Manhattan,Lower East Side,Weekend,22,4789,8,598.625,437,54.625,4.316666666666666,9.719999999999997,0.09125078304447692,4.966666666666667,11.65,0.14563746000492248,-0.6500000000000004,4789,4288,8,1.116837686567164,false,10
255,Brooklyn,Williamsburg (North Side),Weekend,17,4779,8,597.375,496,62.0,4.066666666666666,10.183333333333334,0.10378740322243148,4.1,9.216666666666667,0.07874347982951245,-0.033333333333333215,4779,4304,8,1.1103624535315986,false,10
61,Brooklyn,Crown Heights North,Weekend,23,4773,8,596.625,685,85.625,4.95,11.533333333333333,0.1435156086318877,5.283333333333333,12.25,0.1677525269003699,-0.33333333333333304,4773,6031,8,0.7914110429447853,false,10
161,Manhattan,Midtown Center,Weekday,18,13066,22,593.9090909090909,350,15.909090909090908,3.0,6.733333333333333,0.02678708097351906,3.6333333333333333,8.183333333333334,0.05386722498473349,-0.6333333333333333,13066,8072,22,1.6186818632309217,false,10
148,Manhattan,Lower East Side,Weekend,23,4707,8,588.375,647,80.875,5.233333333333333,11.216666666666667,0.13745485447206288,5.283333333333333,12.25,0.1677525269003699,-0.04999999999999982,4707,4139,8,1.1372312152693886,false,10
79,Manhattan,East Village,Weekday,22,12925,22,587.5,654,29.727272727272727,3.566666666666667,7.783333333333333,0.050599613152804646,4.316666666666666,10.283333333333333,0.10747069193979303,-0.7499999999999996,12925,11516,22,1.1223515109412991,false,10
246,Manhattan,West Chelsea/Hudson Yards,Weekday,20,12914,22,587.0,374,17.0,3.3666666666666667,7.133333333333334,0.028960817717206135,3.6166666666666667,8.516666666666667,0.06397281094931385,-0.25,12914,8291,22,1.5575925702569051,false,10
161,Manhattan,Midtown Center,Weekday,17,12874,22,585.1818181818181,585,26.59090909090909,3.3,7.578333333333346,0.04544042255709181,3.8333333333333335,8.566666666666666,0.0635390981593203,-0.5333333333333337,12874,7171,22,1.7952865709106123,false,10
234,Manhattan,Union Sq,Weekday,20,12821,22,582.7727272727273,246,11.181818181818182,2.95,6.266666666666667,0.01918727088370642,3.6166666666666667,8.516666666666667,0.06397281094931385,-0.6666666666666665,12821,9502,22,1.349294885287308,false,10
230,Manhattan,Times Sq/Theatre District,Weekday,20,12805,22,582.0454545454545,617,28.045454545454547,3.35,7.7,0.048184303006638035,3.6166666666666667,8.516666666666667,0.06397281094931385,-0.2666666666666666,12805,10468,22,1.223251815055407,false,10
249,Manhattan,West Village,Weekend,21,4622,8,577.75,141,17.625,3.216666666666667,6.916666666666667,0.030506274340112504,4.5,10.683333333333334,0.11742836553102828,-1.2833333333333332,4622,4200,8,1.1004761904761904,false,10
37,Brooklyn,Bushwick South,Weekend,21,4612,8,576.5,342,42.75,3.966666666666667,9.1,0.07415437987857762,4.5,10.683333333333334,0.11742836553102828,-0.5333333333333332,4612,5057,8,0.9120031639311845,false,10
249,Manhattan,West Village,Weekend,22,4565,8,570.625,335,41.875,3.966666666666667,8.883333333333333,0.07338444687842278,4.966666666666667,11.65,0.14563746000492248,-1.0,4565,3844,8,1.1875650364203953,false,10
112,Brooklyn,Greenpoint,Weekend,18,4555,8,569.375,190,23.75,3.566666666666667,7.65,0.04171240395170143,4.066666666666666,9.2,0.07939565130134463,-0.49999999999999956,4555,4415,8,1.031710079275198,false,10
112,Brooklyn,Greenpoint,Weekend,19,4551,8,568.875,223,27.875,3.716666666666667,7.916666666666667,0.04900021973192705,4.3,10.0,0.09964006490632837,-0.583333333333333,4551,4568,8,0.9962784588441331,false,10
112,Brooklyn,Greenpoint,Weekend,20,4545,8,568.125,150,18.75,3.4,7.183333333333334,0.033003300330033,4.366666666666666,10.183333333333334,0.10420757738252621,-0.9666666666666663,4545,4824,8,0.9421641791044776,false,10
148,Manhattan,Lower East Side,Weekend,21,4494,8,561.75,201,25.125,3.45,7.795000000000004,0.04472630173564753,4.5,10.683333333333334,0.11742836553102828,-1.0499999999999998,4494,4293,8,1.0468204053109713,false,10
