day_type,request_hour,n,city_median_wait_min,city_p90_wait_min,city_share_over_10
Weekday,0,384586,4.0,10.083333333333334,0.10177437556229296
Weekday,1,229572,3.9166666666666665,9.5,0.0863389263499033
Weekday,2,152864,4.166666666666667,9.733333333333333,0.0917155118275068
Weekday,3,139774,4.666666666666667,10.816666666666666,0.12186100419248215
Weekday,4,182504,5.033333333333333,11.283333333333333,0.13485731819576557
Weekday,5,286307,4.733333333333333,10.55,0.11488716657294443
Weekday,6,496332,4.416666666666667,10.1,0.10244755526542718
Weekday,7,747597,4.716666666666667,10.916666666666666,0.12505400636974198
Weekday,8,877196,4.25,9.266666666666667,0.08061026270069631
Weekday,9,748121,3.6333333333333333,7.916666666666667,0.04848680895202782
Weekday,10,634251,3.45,7.633333333333334,0.04230817137064033
Weekday,11,602826,3.466666666666667,7.716666666666667,0.045071048693984664
Weekday,12,607251,3.6166666666666667,8.083333333333334,0.05271461059759473
Weekday,13,644396,3.7666666666666666,8.4,0.06083681462951353
Weekday,14,718582,3.933333333333333,8.916666666666666,0.07243988855829954
Weekday,15,725157,3.816666666666667,8.583333333333334,0.0639323622332819
Weekday,16,763598,3.7666666666666666,8.533333333333333,0.06292970908776607
Weekday,17,844362,3.8333333333333335,8.566666666666666,0.0635390981593203
Weekday,18,859725,3.6333333333333333,8.183333333333334,0.05386722498473349
Weekday,19,815215,3.4833333333333334,8.0,0.05254564746723257
Weekday,20,825038,3.6166666666666667,8.516666666666667,0.06397281094931385
Weekday,21,824706,4.0,9.65,0.09069898848801876
Weekday,22,790141,4.316666666666666,10.283333333333333,0.10747069193979303
Weekday,23,664865,4.3,10.3,0.1080249373933054
Weekend,0,313417,4.833333333333333,10.8,0.12398178784175715
Weekend,1,248233,4.466666666666667,10.033333333333333,0.10095353961802017
Weekend,2,189174,4.666666666666667,10.383333333333333,0.11081332529840253
Weekend,3,149018,5.016666666666667,11.416666666666666,0.14056691137983332
Weekend,4,113157,5.366666666666666,12.066666666666666,0.1614305787534134
Weekend,5,96744,4.85,10.833333333333334,0.12383196890763251
Weekend,6,120439,4.633333333333334,10.583333333333334,0.11545263577412632
Weekend,7,148270,4.05,9.066666666666666,0.07534228097389897
Weekend,8,183333,3.783333333333333,8.283333333333333,0.05778555961010838
Weekend,9,230016,3.85,8.35,0.060274067890929324
Weekend,10,262685,3.8833333333333333,8.383333333333333,0.06003768772484154
Weekend,11,281923,3.966666666666667,8.633333333333333,0.06619892665727876
Weekend,12,295009,4.2,9.216666666666667,0.07988908812951469
Weekend,13,301558,4.383333333333334,9.633333333333333,0.0903739910730274
Weekend,14,311267,4.416666666666667,9.75,0.09279814435838042
Weekend,15,314991,4.15,9.133333333333333,0.07782127108393573
Weekend,16,315774,4.016666666666667,9.066666666666666,0.07574087796968718
Weekend,17,327062,4.1,9.216666666666667,0.07874347982951245
Weekend,18,333847,4.066666666666666,9.2,0.07939565130134463
Weekend,19,338950,4.3,10.0,0.09964006490632837
Weekend,20,336607,4.366666666666666,10.183333333333334,0.10420757738252621
Weekend,21,331649,4.5,10.683333333333334,0.11742836553102828
Weekend,22,325040,4.966666666666667,11.65,0.14563746000492248
Weekend,23,291167,5.283333333333333,12.25,0.1677525269003699
