location_id,borough,zone,day_type,request_hour,n,calendar_occurrences,requests_per_occurrence,over_10_count,over_10_per_occurrence,median_wait_min,p90_wait_min,share_over_10,city_median_wait_min,city_p90_wait_min,city_share_over_10,median_excess_min,supply_metric_requests,prior_hour_dropoffs,supply_hours_observed,local_pressure,is_airport,pressure_decile,wait_decile,disagreement_type
46,Bronx,City Island,Weekend,23,105,8,13.125,73,9.125,12.733333333333333,22.256666666666668,0.6952380952380952,5.283333333333333,12.25,0.1677525269003699,7.449999999999999,105,106,8,0.9905660377358491,false,5,10,"high long-wait share, low-to-mid pressure"
46,Bronx,City Island,Weekday,22,220,22,10.0,111,5.045454545454546,10.208333333333332,21.138333333333332,0.5045454545454545,4.316666666666666,10.283333333333333,0.10747069193979303,5.891666666666666,220,218,22,1.0091743119266054,false,5,10,"high long-wait share, low-to-mid pressure"
46,Bronx,City Island,Weekend,19,144,8,18.0,68,8.5,9.108333333333334,21.233333333333345,0.4722222222222222,4.3,10.0,0.09964006490632837,4.8083333333333345,144,149,8,0.9664429530201343,false,4,10,"high long-wait share, low-to-mid pressure"
23,Staten Island,Bloomfield/Emerson Hill,Weekday,3,173,22,7.863636363636363,80,3.6363636363636362,9.216666666666667,19.296666666666667,0.4624277456647399,4.666666666666667,10.816666666666666,0.12186100419248215,4.55,173,189,22,0.9153439153439153,false,4,10,"high long-wait share, low-to-mid pressure"
109,Staten Island,Great Kills,Weekend,3,113,8,14.125,51,6.375,8.75,18.02,0.45132743362831856,5.016666666666667,11.416666666666666,0.14056691137983332,3.7333333333333334,113,145,8,0.7793103448275862,false,3,10,"high long-wait share, low-to-mid pressure"
115,Staten Island,Grymes Hill/Clifton,Weekday,3,105,22,4.7727272727272725,47,2.1363636363636362,8.916666666666666,18.03,0.44761904761904764,4.666666666666667,10.816666666666666,0.12186100419248215,4.249999999999999,105,142,22,0.7394366197183099,false,2,10,"high long-wait share, low-to-mid pressure"
46,Bronx,City Island,Weekend,20,143,8,17.875,64,8.0,8.95,18.946666666666665,0.44755244755244755,4.366666666666666,10.183333333333334,0.10420757738252621,4.583333333333333,143,145,8,0.9862068965517241,false,5,10,"high long-wait share, low-to-mid pressure"
118,Staten Island,Heartland Village/Todt Hill,Weekend,1,111,8,13.875,49,6.125,9.066666666666666,16.316666666666666,0.44144144144144143,4.466666666666667,10.033333333333333,0.10095353961802017,4.6,111,159,8,0.6981132075471698,false,2,10,"high long-wait share, low-to-mid pressure"
117,Queens,Hammels/Arverne,Weekday,2,312,22,14.181818181818182,134,6.090909090909091,8.858333333333334,19.111666666666668,0.42948717948717946,4.166666666666667,9.733333333333333,0.0917155118275068,4.691666666666667,312,649,22,0.48073959938366717,false,1,10,"high long-wait share, low-to-mid pressure"
117,Queens,Hammels/Arverne,Weekday,3,292,22,13.272727272727273,124,5.636363636363637,8.991666666666667,18.296666666666674,0.4246575342465753,4.666666666666667,10.816666666666666,0.12186100419248215,4.325,292,404,22,0.7227722772277227,false,2,10,"high long-wait share, low-to-mid pressure"
206,Staten Island,Saint George/New Brighton,Weekend,1,351,8,43.875,147,18.375,8.866666666666667,16.616666666666667,0.4188034188034188,4.466666666666667,10.033333333333333,0.10095353961802017,4.4,351,441,8,0.7959183673469388,false,3,10,"high long-wait share, low-to-mid pressure"
175,Queens,Oakland Gardens,Weekend,23,156,8,19.5,65,8.125,8.541666666666666,17.233333333333334,0.4166666666666667,5.283333333333333,12.25,0.1677525269003699,3.258333333333333,156,177,8,0.8813559322033898,false,3,10,"high long-wait share, low-to-mid pressure"
46,Bronx,City Island,Weekday,10,104,22,4.7272727272727275,43,1.9545454545454546,8.591666666666667,16.095000000000002,0.41346153846153844,3.45,7.633333333333334,0.04230817137064033,5.141666666666667,104,117,22,0.8888888888888888,false,3,10,"high long-wait share, low-to-mid pressure"
23,Staten Island,Bloomfield/Emerson Hill,Weekday,2,172,22,7.818181818181818,69,3.1363636363636362,8.675,19.038333333333334,0.4011627906976744,4.166666666666667,9.733333333333333,0.0917155118275068,4.508333333333334,172,357,22,0.48179271708683474,false,1,10,"high long-wait share, low-to-mid pressure"
46,Bronx,City Island,Weekday,19,200,22,9.090909090909092,80,3.6363636363636362,8.341666666666667,17.23333333333333,0.4,3.4833333333333334,8.0,0.05254564746723257,4.858333333333333,200,372,22,0.5376344086021505,false,1,10,"high long-wait share, low-to-mid pressure"
214,Staten Island,South Beach/Dongan Hills,Weekend,23,195,8,24.375,77,9.625,8.1,17.283333333333335,0.39487179487179486,5.283333333333333,12.25,0.1677525269003699,2.8166666666666664,195,200,8,0.975,false,4,10,"high long-wait share, low-to-mid pressure"
44,Staten Island,Charleston/Tottenville,Weekend,1,112,8,14.0,44,5.5,8.008333333333333,18.06666666666667,0.39285714285714285,4.466666666666667,10.033333333333333,0.10095353961802017,3.541666666666666,112,119,8,0.9411764705882353,false,4,10,"high long-wait share, low-to-mid pressure"
117,Queens,Hammels/Arverne,Weekend,22,467,8,58.375,183,22.875,8.45,18.62666666666667,0.39186295503211993,4.966666666666667,11.65,0.14563746000492248,3.4833333333333325,467,500,8,0.934,false,4,10,"high long-wait share, low-to-mid pressure"
201,Queens,Rockaway Park,Weekend,23,202,8,25.25,78,9.75,8.491666666666667,18.908333333333335,0.38613861386138615,5.283333333333333,12.25,0.1677525269003699,3.208333333333334,202,216,8,0.9351851851851852,false,4,10,"high long-wait share, low-to-mid pressure"
23,Staten Island,Bloomfield/Emerson Hill,Weekend,2,122,8,15.25,47,5.875,8.216666666666667,16.246666666666666,0.38524590163934425,4.666666666666667,10.383333333333333,0.11081332529840253,3.55,122,269,8,0.45353159851301117,false,1,10,"high long-wait share, low-to-mid pressure"
206,Staten Island,Saint George/New Brighton,Weekend,3,230,8,28.75,88,11.0,8.45,18.545,0.3826086956521739,5.016666666666667,11.416666666666666,0.14056691137983332,3.4333333333333327,230,232,8,0.9913793103448276,false,5,10,"high long-wait share, low-to-mid pressure"
206,Staten Island,Saint George/New Brighton,Weekend,2,265,8,33.125,101,12.625,8.316666666666666,16.549999999999997,0.38113207547169814,4.666666666666667,10.383333333333333,0.11081332529840253,3.6499999999999995,265,350,8,0.7571428571428571,false,2,10,"high long-wait share, low-to-mid pressure"
214,Staten Island,South Beach/Dongan Hills,Weekend,0,163,8,20.375,62,7.75,8.216666666666667,18.900000000000002,0.3803680981595092,4.833333333333333,10.8,0.12398178784175715,3.3833333333333337,163,191,8,0.8534031413612565,false,3,10,"high long-wait share, low-to-mid pressure"
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,23,112,8,14.0,42,5.25,7.633333333333333,17.055,0.375,5.283333333333333,12.25,0.1677525269003699,2.3499999999999996,112,136,8,0.8235294117647058,false,3,10,"high long-wait share, low-to-mid pressure"
109,Staten Island,Great Kills,Weekend,23,142,8,17.75,53,6.625,7.683333333333334,16.428333333333335,0.3732394366197183,5.283333333333333,12.25,0.1677525269003699,2.4000000000000004,142,167,8,0.8502994011976048,false,3,10,"high long-wait share, low-to-mid pressure"
46,Bronx,City Island,Weekday,21,245,22,11.136363636363637,91,4.136363636363637,8.55,16.773333333333333,0.37142857142857144,4.0,9.65,0.09069898848801876,4.550000000000001,245,273,22,0.8974358974358975,false,4,10,"high long-wait share, low-to-mid pressure"
