location_id,borough,zone,day_type,request_hour,n,calendar_occurrences,requests_per_occurrence,over_10_count,over_10_per_occurrence,median_wait_min,p90_wait_min,share_over_10,city_median_wait_min,city_p90_wait_min,city_share_over_10,median_excess_min,supply_metric_requests,prior_hour_dropoffs,supply_hours_observed,local_pressure,is_airport
132,Queens,JFK Airport,Weekday,0,13768,22,625.8181818181819,6019,273.59090909090907,9.266666666666667,19.366666666666667,0.4371731551423591,4.0,10.083333333333334,0.10177437556229296,5.2666666666666675,13229,2687,21,4.923334573874209,true
132,Queens,JFK Airport,Weekday,1,6762,22,307.3636363636364,2655,120.68181818181819,8.8,17.8,0.3926353149955634,3.9166666666666665,9.5,0.0863389263499033,4.883333333333335,6762,1791,22,3.775544388609715,true
132,Queens,JFK Airport,Weekday,2,3119,22,141.77272727272728,855,38.86363636363637,8.166666666666666,13.016666666666667,0.27412632253927544,4.166666666666667,9.733333333333333,0.0917155118275068,3.999999999999999,3119,1301,22,2.3973866256725596,true
132,Queens,JFK Airport,Weekday,3,1830,22,83.18181818181819,268,12.181818181818182,6.633333333333334,11.001666666666669,0.146448087431694,4.666666666666667,10.816666666666666,0.12186100419248215,1.9666666666666668,1830,2423,22,0.7552620718118036,true
132,Queens,JFK Airport,Weekday,4,1433,22,65.13636363636364,122,5.545454545454546,4.7,9.583333333333334,0.0851360781577111,5.033333333333333,11.283333333333333,0.13485731819576557,-0.33333333333333304,1433,6739,22,0.21264282534500667,true
132,Queens,JFK Airport,Weekday,5,4278,22,194.45454545454547,383,17.40909090909091,4.166666666666667,9.66500000000001,0.0895278167367929,4.733333333333333,10.55,0.11488716657294443,-0.5666666666666664,4278,14386,22,0.2973724454330599,true
132,Queens,JFK Airport,Weekday,6,7193,22,326.95454545454544,469,21.318181818181817,3.1166666666666667,8.4,0.06520227999443903,4.416666666666667,10.1,0.10244755526542718,-1.3000000000000003,7193,21307,22,0.33758858591073354,true
132,Queens,JFK Airport,Weekday,7,8608,22,391.27272727272725,870,39.54545454545455,3.4166666666666665,10.033333333333333,0.10106877323420074,4.716666666666667,10.916666666666666,0.12505400636974198,-1.3000000000000003,8608,23273,22,0.36987066557813775,true
132,Queens,JFK Airport,Weekday,8,5546,22,252.0909090909091,556,25.272727272727273,3.8,10.016666666666667,0.1002524341868013,4.25,9.266666666666667,0.08061026270069631,-0.4500000000000002,5546,17333,22,0.31996769168637856,true
132,Queens,JFK Airport,Weekday,9,4750,22,215.9090909090909,507,23.045454545454547,3.591666666666667,10.285000000000005,0.10673684210526316,3.6333333333333333,7.916666666666667,0.04848680895202782,-0.04166666666666652,4750,12327,22,0.38533300884237853,true
132,Queens,JFK Airport,Weekday,10,6605,22,300.22727272727275,1091,49.59090909090909,4.733333333333333,12.45,0.16517789553368661,3.45,7.633333333333334,0.04230817137064033,1.2833333333333332,6605,12138,22,0.5441588400065909,true
132,Queens,JFK Airport,Weekday,11,7530,22,342.27272727272725,931,42.31818181818182,4.3,10.833333333333334,0.12363877822045152,3.466666666666667,7.716666666666667,0.045071048693984664,0.833333333333333,7530,10800,22,0.6972222222222222,true
